"NAME","VPIP","PFR","CBET","AF","WSD","hands"
"676c5599",56,22,0,4,33,19
"7055f691",50,25,0,1,0,14
"a073d05a",33,0,NA,0,NA,3
"87d3a077",67,33,0,1,100,3
"cdbd79a3",67,33,0,0,67,6
"cb9ff3c8",100,17,0,3,67,6
"ab7d5db6",67,50,33,0.5,100,6
"3b2ff38c",60,40,0,2,0,5
"29e8c1f3",100,67,0,1,100,6
"eba9406c",33,33,0,1,0,6
"e62d21d3",0,0,NA,0,NA,2
"464b4f58",100,100,0,0,100,2
"8c45288d",53,38,0,4,44,34
"4f1364d6",67,44,17,1,33,27
"a277f2ea",27,18,0,2,0,11
"ec481f0e",38,38,40,2,0,13
"e1deeb85",67,0,NA,4,100,3
"f8a7e315",67,33,100,0.33,0,3
"0fc61e39",100,100,0,0,0,1
"f7f440d1",50,25,33,1,0,12
"f021aea7",62,25,50,1.25,100,8
"6c4dab2c",36,21,0,3,33,39
"3dddc36f",36,7,0,0.4,60,28
"1630baaa",50,25,100,4,0,4
"1f0caf59",46,8,0,2,57,26
"baa6929e",61,23,29,1.5,50,31
"43b994bc",57,36,20,0.23,33,14
"560b36b1",100,33,0,3,0,3
"a6f4f226",100,14,0,0.14,50,7
"b88461ec",25,25,100,2,100,4
"d8f83725",67,67,25,0.33,25,6
"4c650d8b",57,29,0,3,60,14
"08bc2304",100,17,0,0.5,0,6
"0383c567",62,47,20,0.45,78,32
"2871431a",70,25,0,0.5,67,20
"a1925735",25,5,0,3,100,20
"4c8383aa",100,0,NA,0,57,11
"7c72bc72",40,30,67,6,75,11
"5b91bbc8",100,67,0,0,0,3
"a955efb3",60,60,33,1,100,5
"a077cc31",38,38,0,0.17,0,9
"f95b3344",63,11,0,1,83,19
"ea8e733b",100,100,100,1,100,1
"4ab0e533",100,0,NA,0,NA,1
"2e0eef7a",73,36,25,0.33,20,14
"4670632d",50,50,0,0,0,2
"8854ff82",60,0,NA,2,0,5
"a52a270b",83,62,27,3,43,24
"6813e66c",44,19,33,0.5,100,16
"b37bed73",62,6,100,7,0,16
"b38d580a",26,11,0,1,0,27
"fe96d4dd",33,27,12,1,33,30
"c120ef79",67,17,0,0,100,6
"9ffefc08",67,33,100,6,50,6
"4a9984a0",100,100,0,0,0,1
"b51add86",75,75,0,0,100,4
"776b8cad",62,0,NA,1.25,33,8
"39bf0ef1",100,0,NA,1.33,100,5
